name,tvl,fees_24h,fees_7d,fees_30d,revenue_24h,revenue_7d,volume_24h,volume_7d,mcap/tvl
Maker RWA,2779000000.0,,,,,,,,
Ethena,2322000000.0,3000.0,2020000.0,12040000.0,3000.0,310514.0,,,0.47
stUSDT,535700000.0,,,,,,,,
Ondo Finance,418320000.0,,,,,,,,2.9
RealT Tokens,104730000.0,,,,,,,,
Superstate,104280000.0,,,,,,,,
MatrixDock,54130000.0,,,,,,,,0.9
Mountain Protocol,52270000.0,,,,,,,,
Hashnote USYC,46210000.0,,,,,,,,
Tangible RWA,44720000.0,0.0,81.0,164.0,0.0,81.0,,,
Maple RWA,41230000.0,,,,,,,,
OpenEden T-Bills,32340000.0,,,,,,,,
BackedFi,31630000.0,,,,,,,,
Lofty,30310000.0,,,,,,,,
Aktionariat,16820000.0,,,,,,,,
Fortunafi,7160000.0,,,,,,,,
Meld Gold,5260000.0,,,,,,,,
DigiFT,5250000.0,,,,,,,,
Solv Protocol,3680000.0,,,,,,,,
HiYield,3060000.0,,,,,,,,
Bloom,2210000.0,,,,,,,,
LandX Finance,2110000.0,,,,,,,,4.12
International Stable Currency,1380000.0,,,,,,,,
Toucan Protocol,1230000.0,,,,,,,,
Binaryx Platform,944706.0,,,,,,,,
CACHE.Gold,467925.0,,,,,,,,2.22
Gold DAO,456292.0,,,,,,,,
KUMA Protocol,314454.0,,,,,,,,
Danogo,298298.0,0.0,0.0,0.0,,,1363.0,27713.0,
Sweep,80649.0,,,,,,,,
Anzen Finance,34702.0,,,,,,,,
NAOS Finance,12562.0,,,,,,,,194.05
InVar Finance,2000.0,,,,,,,,
TProtocol,1437.0,,,,,,,,
ELYFI,40.84,,,,,,,,15240.77
CitaDAO,0.0,,,,,,,,
